RowNumber,Country,Region - Broad,Region - Specific,Data_Protection_Law,Data_Protection_Law_Source,DPA_Independence,DPA_Independence_Source,Children_Data_Safeguards,Children_Data_Safeguards_Source,COP_Strategy,COP_Strategy_Source,SOGI_Sensitive_Data,SOGI_Sensitive_Data_Source,LGBTQ_Legal_Status,LGBTQ_Legal_Status_Source,Promotion_Propaganda_Offences,Promotion_Propaganda_Offences_Source,AI_Policy_Status,AI_Policy_Status_Source,DPIA_Required_High_Risk_AI,DPIA_Required_High_Risk_AI_Source,SIM_Biometric_ID_Linkage,SIM_Biometric_ID_Linkage_Source,DP,DI,CD,CS,SD,LS,PO,AI,HR,ID,protection_index,Risk_index,region_norm,RowNumber.1,OLD_MAX,OLD_MIN,OLD_MAX - OLD_MIN,NEW_MAX,NEW_MIN,NEW_MAX-NEW_MIN
4,Algeria,Africa,AMU,"In force – Law 18-07 on Protection of Individuals in Processing of Personal Data (2018, weak enforcement)",https://www.dlapiperdataprotection.com/index.html?t=law&c=DZ; https://www.cnil.fr/en/data-protection-around-the-world#algeria,"DPA exists but not independent – National Authority for Protection of Personal Data, appointed by executive (Art.29, Law 18-07)",https://www.dlapiperdataprotection.com/index.html?t=law&c=DZ,Partial – General DP law applies to children; no child-specific or online safety law,https://www.dlapiperdataprotection.com/index.html?t=law&c=DZ,No – No national child online protection law; some general cybercrime law,https://www.unicef.org/algeria/en/protection; https://www.dlapiperdataprotection.com/index.html?t=law&c=DZ,No – SOGI not listed as sensitive data in Law 18-07 (2018),https://www.cnil.fr/en/data-protection-around-the-world#algeria,Criminalized – Same-sex acts illegal under Penal Code Art. 333/338; up to 3 years prison,https://www.humandignitytrust.org/country-profile/algeria/; https://ilga.org/maps-sexual-orientation-laws,"Yes – Morality and decency laws (Penal Code, 2020 amendment) restrict LGBTQ+ expression",https://www.humandignitytrust.org/country-profile/algeria/; https://ilga.org/maps-sexual-orientation-laws,None – No formal AI strategy; digital transformation working group (2022),https://www.itu.int/en/ITU-D/ICT-Applications/Pages/artificial-intelligence-policy-algeria.aspx,No – No requirement for DPIA or AI risk assessment (2024),https://www.dlapiperdataprotection.com/index.html?t=law&c=DZ,"ID mandatory – SIM registration with ID, not biometric (GSMA 2023)",https://www.gsma.com/mobilefordevelopment/resources/mandatory-sim-registration-in-algeria/,,,,,,,,,,,,,,4,,,,,,
54,Egypt,Africa,AMU,"In force (Personal Data Protection Law No. 151, 2020)",https://unctad.org/page/data-protection-and-privacy-legislation-worldwide,Weak (under Ministry of Communications),https://unctad.org/page/data-protection-and-privacy-legislation-worldwide,Partial (general child protections; no COP law),https://unctad.org/page/data-protection-and-privacy-legislation-worldwide; https://www.unicef.org/egypt/,Partial (ICT education initiatives),https://www.unicef.org/egypt/,No,https://unctad.org/page/data-protection-and-privacy-legislation-worldwide,Criminalised (via debauchery laws),https://www.humandignitytrust.org/country-profile/egypt/; https://ilga.org/ilga-world-maps/,Yes (anti-LGBTQ propaganda restrictions),https://ilga.org/ilga-world-maps/,"Adopted (National AI Strategy, 2021)",https://en.unesco.org/artificial-intelligence/observatory/policies?country=EG; https://www.unesco.org/ethics-ai/en/global-hub,No,https://unctad.org/page/data-protection-and-privacy-legislation-worldwide,Yes (SIMs tied to national ID),https://www.gsma.com/solutions-and-impact/connectivity-for-good/public-policy/mobile-policy-handbook/consumer-protection/mandatory-registration-of-prepaid-sims/,,,,,,,,,,,,,,54,,,,,,
99,Libya,Africa,AMU,Draft (no comprehensive law),https://unctad.org/page/data-protection-and-privacy-legislation-worldwide,,https://unctad.org/page/data-protection-and-privacy-legislation-worldwide,No,https://www.unicef.org/libya/,No,https://www.unicef.org/libya/,No,https://unctad.org/page/data-protection-and-privacy-legislation-worldwide,Criminalised (severe penalties),https://www.humandignitytrust.org/country-profile/libya/; https://ilga.org/ilga-world-maps/,Yes,https://ilga.org/ilga-world-maps/,,https://en.unesco.org/artificial-intelligence/observatory/policies?country=LY; https://www.unesco.org/ethics-ai/en/global-hub,No,https://unctad.org/page/data-protection-and-privacy-legislation-worldwide,Yes (biometric SIM registration required),https://www.gsma.com/solutions-and-impact/connectivity-for-good/public-policy/mobile-policy-handbook/consumer-protection/mandatory-registration-of-prepaid-sims/; https://privacyinternational.org/learn/sim-card-registration,,,,,,,,,,,,,,99,,,,,,
110,Mauritania,Africa,AMU,In force (Law No. 2017-020 on Personal Data Protection),https://unctad.org/page/data-protection-and-privacy-legislation-worldwide,Weak (regulator under government),https://unctad.org/page/data-protection-and-privacy-legislation-worldwide,No,https://www.unicef.org/mauritania/,No,https://www.unicef.org/mauritania/,No,https://unctad.org/page/data-protection-and-privacy-legislation-worldwide,Criminalised (Sharia-based penalties),https://www.humandignitytrust.org/country-profile/mauritania/; https://ilga.org/ilga-world-maps/,Yes,https://ilga.org/ilga-world-maps/,,https://en.unesco.org/artificial-intelligence/observatory/policies?country=MR; https://www.unesco.org/ethics-ai/en/global-hub,No,https://unctad.org/page/data-protection-and-privacy-legislation-worldwide,Yes,https://www.gsma.com/solutions-and-impact/connectivity-for-good/public-policy/mobile-policy-handbook/consumer-protection/mandatory-registration-of-prepaid-sims/,,,,,,,,,,,,,,110,,,,,,
117,Morocco,Africa,AMU,In force (Law No. 09-08 on Personal Data Protection),https://unctad.org/page/data-protection-and-privacy-legislation-worldwide,Weak (CNDP under government influence),https://unctad.org/page/data-protection-and-privacy-legislation-worldwide,No,https://www.unicef.org/morocco/,No,https://www.unicef.org/morocco/,No,https://unctad.org/page/data-protection-and-privacy-legislation-worldwide,Criminalised (Penal Code Article 489),https://www.humandignitytrust.org/country-profile/morocco/; https://ilga.org/ilga-world-maps/,Yes,https://ilga.org/ilga-world-maps/,Draft/Early (Digital Morocco 2020; no formal AI strategy),https://en.unesco.org/artificial-intelligence/observatory/policies?country=MA; https://www.unesco.org/ethics-ai/en/global-hub,No,https://unctad.org/page/data-protection-and-privacy-legislation-worldwide,Yes (ID required; biometrics used),https://www.gsma.com/solutions-and-impact/connectivity-for-good/public-policy/mobile-policy-handbook/consumer-protection/mandatory-registration-of-prepaid-sims/; https://privacyinternational.org/learn/sim-card-registration,,,,,,,,,,,,,,117,,,,,,
179,Tunisia,Africa,AMU,"In force — Law No. 2004-63 on Data Protection (2004), amendments under consideration","UNCTAD Data Protection Tracker, accessed 2026-01-25",Moderate — INPDP regulator,https://unctad.org/page/data-protection-and-privacy-legislation-worldwide,Partial,https://unctad.org/page/data-protection-and-privacy-legislation-worldwide; https://www.unicef.org/tunisia/,No,https://www.unicef.org/tunisia/,No,https://unctad.org/page/data-protection-and-privacy-legislation-worldwide,Criminalised — Article 230 Penal Code,https://www.humandignitytrust.org/country-profile/tunisia/; https://ilga.org/ilga-world-maps/,Yes,https://ilga.org/ilga-world-maps/,Draft/Early — AI initiatives under Digital 2020 plan,https://en.unesco.org/artificial-intelligence/observatory/policies?country=TN; https://www.unesco.org/ethics-ai/en/global-hub,No,https://unctad.org/page/data-protection-and-privacy-legislation-worldwide,Yes,https://www.gsma.com/solutions-and-impact/connectivity-for-good/public-policy/mobile-policy-handbook/consumer-protection/mandatory-registration-of-prepaid-sims/,,,,,,,,,,,,,,179,,,,,,
29,Burundi,Africa,EAC,None (no comprehensive data protection law),https://unctad.org/page/data-protection-and-privacy-legislation-worldwide,Weak (no independent DPA),https://unctad.org/page/data-protection-and-privacy-legislation-worldwide,Partial (Child Protection Code; no COP strategy),https://unctad.org/page/data-protection-and-privacy-legislation-worldwide; https://www.unicef.org/burundi/,No,https://www.unicef.org/burundi/,No,https://unctad.org/page/data-protection-and-privacy-legislation-worldwide,Criminalised (same-sex acts illegal under Penal Code),https://www.humandignitytrust.org/country-profile/burundi/; https://ilga.org/ilga-world-maps/,Yes (restrictions under Penal Code),https://ilga.org/ilga-world-maps/,None (no AI strategy identified),https://en.unesco.org/artificial-intelligence/observatory/policies?country=BI; https://www.unesco.org/ethics-ai/en/global-hub,No,https://unctad.org/page/data-protection-and-privacy-legislation-worldwide,Yes (biometric SIM registration required),https://www.gsma.com/solutions-and-impact/connectivity-for-good/public-policy/mobile-policy-handbook/consumer-protection/mandatory-registration-of-prepaid-sims/; https://privacyinternational.org/learn/sim-card-registration,,,,,,,,,,,,,,29,,,,,,
90,Kenya,Africa,EAC,"In force (Data Protection Act, 2019)",https://unctad.org/page/data-protection-and-privacy-legislation-worldwide,Moderate (ODPC semi-independent),https://unctad.org/page/data-protection-and-privacy-legislation-worldwide,Partial (children’s data covered in DPA),https://unctad.org/page/data-protection-and-privacy-legislation-worldwide; https://www.unicef.org/kenya/,Partial (child online safety initiatives with ICT Authority),https://www.unicef.org/kenya/,No,https://unctad.org/page/data-protection-and-privacy-legislation-worldwide,Criminalised (Penal Code provisions),https://www.humandignitytrust.org/country-profile/kenya/; https://ilga.org/ilga-world-maps/,Yes (morality restrictions applied),https://ilga.org/ilga-world-maps/,Draft/Early (strategy in development; digital economy blueprint includes AI),https://en.unesco.org/artificial-intelligence/observatory/policies?country=KE; https://www.unesco.org/ethics-ai/en/global-hub,Yes (required under DPA for high-risk processing),https://unctad.org/page/data-protection-and-privacy-legislation-worldwide,Yes (mandatory biometric SIM registration via Huduma Namba),https://www.gsma.com/solutions-and-impact/connectivity-for-good/public-policy/mobile-policy-handbook/consumer-protection/mandatory-registration-of-prepaid-sims/; https://privacyinternational.org/learn/sim-card-registration,,,,,,,,,,,,,,90,,,,,,
145,Rwanda,Africa,EAC,In force — Data Protection and Privacy Law (2021),https://unctad.org/page/data-protection-and-privacy-legislation-worldwide,Moderate — regulator under NCSA,https://unctad.org/page/data-protection-and-privacy-legislation-worldwide,Partial,https://unctad.org/page/data-protection-and-privacy-legislation-worldwide; https://www.unicef.org/rwanda/,Partial,https://www.unicef.org/rwanda/,No,https://unctad.org/page/data-protection-and-privacy-legislation-worldwide,Legal — no recognition,https://www.humandignitytrust.org/country-profile/rwanda/; https://ilga.org/ilga-world-maps/,No,https://ilga.org/ilga-world-maps/,Draft/Early — Smart Rwanda Master Plan,https://en.unesco.org/artificial-intelligence/observatory/policies?country=RW; https://www.unesco.org/ethics-ai/en/global-hub,No,https://unctad.org/page/data-protection-and-privacy-legislation-worldwide,Yes,https://www.gsma.com/solutions-and-impact/connectivity-for-good/public-policy/mobile-policy-handbook/consumer-protection/mandatory-registration-of-prepaid-sims/,,,,,,,,,,,,,,145,,,,,,
183,Uganda,Africa,EAC,In force — Data Protection and Privacy Act 2019,https://unctad.org/page/data-protection-and-privacy-legislation-worldwide,Weak — National Information Technology Authority,https://unctad.org/page/data-protection-and-privacy-legislation-worldwide,Partial,https://unctad.org/page/data-protection-and-privacy-legislation-worldwide; https://www.unicef.org/uganda/,No,https://www.unicef.org/uganda/,No,https://unctad.org/page/data-protection-and-privacy-legislation-worldwide,Criminalised — Anti-Homosexuality Act 2023,https://www.humandignitytrust.org/country-profile/uganda/; https://ilga.org/ilga-world-maps/,Yes,https://ilga.org/ilga-world-maps/,,https://en.unesco.org/artificial-intelligence/observatory/policies?country=UG; https://www.unesco.org/ethics-ai/en/global-hub,No,https://unctad.org/page/data-protection-and-privacy-legislation-worldwide,Yes — biometric SIM registration mandatory,https://www.gsma.com/solutions-and-impact/connectivity-for-good/public-policy/mobile-policy-handbook/consumer-protection/mandatory-registration-of-prepaid-sims/; https://privacyinternational.org/learn/sim-card-registration,,,,,,,,,,,,,,183,,,,,,
